SEF_DCM_Name|SEF_DCM_LEI|Trade_Date|Effective_Date|Internal_Prod_ID|Internal_Prod_Des|Asset_Class|Base_Prod|Sub_Prod|Tran_Type|Contract_Type|Curr_Code|Setl_Method|UPI|Block_Flag|Option_Flag|DCO_Name|DCO_LEI|Premium_Volatility_Other_Flag|First_Price|High_Price|Low_Price|Last_Price|Traded_Currency|Notional_Traded_Currency_DA|Notional_Traded_Currency_NDA|Total_Notional_USD_DA|Cleared_Notional_USD_DA|Un_Cleared_Notional_USD_DA|Total_Notional_USD_NDA|Cleared_Notional_USD_NDA|Un_Cleared_Notional_USD_NDA|Total_Trade_Count|Cleared_Trade_Count|Un_Cleared_Trade_Count
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20270901|7Y-15Y_SWN_STRDL_0-4275_6M-6M-6M_JPYLIBOR|"Option is Straddle of 7 Year by 15 Year with Strike 0.4275% ; Swaption - 6 Month LIBOR for JPY"|IR|O|SWO|6M_ACT/365.FIXED_vs_6M_6M_ACT/360|6M_JPY-LIBOR-BBA|JPY|CASH||N|N|||P|832|832|832|832|JPY|2000000000.0|2000000000|18738000|0|18738000|18738000|0|18738000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200930|1M-20Y_SWN_STRDL_0-266_6M-6M-6M_JPYLIBOR|"Option is Straddle of 1 Month by 20 Year with Strike 0.266% ; Swaption - 6 Month LIBOR for JPY"|IR|O|SWO|6M_ACT/365.FIXED_vs_6M_6M_ACT/360|6M_JPY-LIBOR-BBA|JPY|CASH||N|N|||P|136|136|136|136|JPY|3500000000.0|3500000000|32791500|0|32791500|32791500|0|32791500|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20201201|3M-20Y_SWN_STRDL_0-275_6M-6M-6M_JPYLIBOR|"Option is Straddle of 3 Month by 20 Year with Strike 0.275% ; Swaption - 6 Month LIBOR for JPY"|IR|O|SWO|6M_ACT/365.FIXED_vs_6M_6M_ACT/360|6M_JPY-LIBOR-BBA|JPY|CASH||N|N|||P|250|250|250|250|JPY|7000000000.0|7000000000|65583000|0|65583000|65583000|0|65583000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20240829|4Y-20Y_SWN_STRDL_0-382_6M-6M-6M_JPYLIBOR|"Option is Straddle of 4 Year by 20 Year with Strike 0.382% ; Swaption - 6 Month LIBOR for JPY"|IR|O|SWO|6M_ACT/365.FIXED_vs_6M_6M_ACT/360|6M_JPY-LIBOR-BBA|JPY|CASH||N|N|||P|930|930|930|930|JPY|5000000000.0|5000000000|46845000|0|46845000|46845000|0|46845000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20210302|6M-20Y_SWN_STRDL_0-283_6M-6M-6M_JPYLIBOR|"Option is Straddle of 6 Month by 20 Year with Strike 0.283% ; Swaption - 6 Month LIBOR for JPY"|IR|O|SWO|6M_ACT/365.FIXED_vs_6M_6M_ACT/360|6M_JPY-LIBOR-BBA|JPY|CASH||N|N|||P|345|345|345|345|JPY|5000000000.0|5000000000|46845000|0|46845000|46845000|0|46845000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20350830|15Y-10Y_SWN_PAYRS_1-36_6M-3M-3M_USDLIBOR|"Option is Payer of 15 Year by 10 Year with Strike 1.36% ; Swaption - 3 Month LIBOR for USD"|IR|O|SWO|6M_30/360_vs_3M_3M_ACT/360|3M_USD-LIBOR-BBA|USD|CASH||N|N|||P|847|847|847|847|USD|40000000.0|40000000|40000000|0|40000000|40000000|0|40000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20350830|15Y-10Y_SWN_PAYRS_1-375_6M-3M-3M_USDLIBOR|"Option is Payer of 15 Year by 10 Year with Strike 1.375% ; Swaption - 3 Month LIBOR for USD"|IR|O|SWO|6M_30/360_vs_3M_3M_ACT/360|3M_USD-LIBOR-BBA|USD|CASH||N|N|||P|847|847|847|847|USD|37500000.0|37500000|37500000|0|37500000|37500000|0|37500000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20350830|15Y-10Y_SWN_PAYRS_3-36_6M-3M-3M_USDLIBOR|"Option is Payer of 15 Year by 10 Year with Strike 3.36% ; Swaption - 3 Month LIBOR for USD"|IR|O|SWO|6M_30/360_vs_3M_3M_ACT/360|3M_USD-LIBOR-BBA|USD|CASH||N|N|||P|253|253|253|253|USD|67500000.0|67500000|67500000|0|67500000|67500000|0|67500000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20350830|15Y-10Y_SWN_PAYRS_3-375_6M-3M-3M_USDLIBOR|"Option is Payer of 15 Year by 10 Year with Strike 3.375% ; Swaption - 3 Month LIBOR for USD"|IR|O|SWO|6M_30/360_vs_3M_3M_ACT/360|3M_USD-LIBOR-BBA|USD|CASH||N|N|||P|253|253|253|253|USD|67500000.0|67500000|67500000|0|67500000|67500000|0|67500000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20350830|15Y-10Y_SWN_RCVRS_1-36_6M-3M-3M_USDLIBOR|"Option is Receiver of 15 Year by 10 Year with Strike 1.36% ; Swaption - 3 Month LIBOR for USD"|IR|O|SWO|6M_30/360_vs_3M_3M_ACT/360|3M_USD-LIBOR-BBA|USD|CASH||N|N|||P|847|847|847|847|USD|10000000.0|10000000|10000000|0|10000000|10000000|0|10000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20350830|15Y-10Y_SWN_RCVRS_1-375_6M-3M-3M_USDLIBOR|"Option is Receiver of 15 Year by 10 Year with Strike 1.375% ; Swaption - 3 Month LIBOR for USD"|IR|O|SWO|6M_30/360_vs_3M_3M_ACT/360|3M_USD-LIBOR-BBA|USD|CASH||N|N|||P|847|847|847|847|USD|12500000.0|12500000|12500000|0|12500000|12500000|0|12500000|1|0|1
